id,species,symptoms,disease
126,dog,lethargy;fever;coughing,Distemper
127,dog,fever;coughing;runny_nose,Distemper
128,dog,runny_nose;eye_discharge;lethargy;coughing,Distemper
129,dog,lethargy;eye_discharge;runny_nose;coughing,Distemper
130,dog,coughing;fever;runny_nose;lethargy,Distemper
131,dog,lethargy;fever;coughing,Distemper
132,dog,eye_discharge;coughing;runny_nose;fever,Distemper
133,dog,fever;eye_discharge;lethargy;runny_nose,Distemper
134,dog,fever;runny_nose;eye_discharge;coughing;lethargy,Distemper
135,dog,fever;runny_nose;eye_discharge,Distemper
136,dog,fever;runny_nose;coughing;lethargy;eye_discharge,Distemper
137,dog,eye_discharge;runny_nose;coughing;fever;lethargy,Distemper
138,dog,eye_discharge;fever;runny_nose,Distemper
139,dog,fever;runny_nose;eye_discharge,Distemper
140,dog,coughing;eye_discharge;lethargy,Distemper
141,dog,itching;hair_loss;red_skin;sneezing;rash,Skin_Allergy
142,dog,red_skin;rash;itching;sneezing,Skin_Allergy
143,dog,itching;sneezing;hair_loss;red_skin,Skin_Allergy
144,dog,sneezing;rash;itching;hair_loss,Skin_Allergy
145,dog,hair_loss;rash;red_skin;sneezing;itching,Skin_Allergy
146,dog,sneezing;rash;red_skin;hair_loss;itching,Skin_Allergy
147,dog,sneezing;rash;red_skin;hair_loss;itching,Skin_Allergy
148,dog,sneezing;rash;hair_loss;itching;red_skin,Skin_Allergy
149,dog,hair_loss;sneezing;red_skin;rash;itching,Skin_Allergy
150,dog,red_skin;itching;hair_loss,Skin_Allergy
151,dog,red_skin;rash;hair_loss;itching;sneezing,Skin_Allergy
152,dog,red_skin;itching;hair_loss,Skin_Allergy
153,dog,hair_loss;itching;sneezing,Skin_Allergy
154,dog,hair_loss;itching;rash;sneezing;red_skin,Skin_Allergy
155,dog,itching;sneezing;red_skin;rash,Skin_Allergy
156,dog,sneezing;hair_loss;itching;red_skin;rash,Skin_Allergy
157,dog,red_skin;hair_loss;itching;rash,Skin_Allergy
158,dog,hair_loss;rash;red_skin,Skin_Allergy
159,dog,hair_loss;sneezing;red_skin;rash;itching,Skin_Allergy
160,dog,sneezing;itching;red_skin;hair_loss,Skin_Allergy
161,dog,rash;sneezing;red_skin;hair_loss;itching,Skin_Allergy
162,dog,itching;sneezing;red_skin;hair_loss,Skin_Allergy
163,dog,sneezing;rash;red_skin;hair_loss;itching,Skin_Allergy
164,dog,sneezing;itching;rash;red_skin,Skin_Allergy
165,dog,itching;rash;red_skin,Skin_Allergy
166,dog,sneezing;rash;hair_loss;itching;red_skin,Skin_Allergy
167,dog,rash;hair_loss;red_skin,Skin_Allergy
168,dog,red_skin;sneezing;itching,Skin_Allergy
169,dog,sneezing;itching;red_skin;hair_loss,Skin_Allergy
170,dog,rash;itching;hair_loss;red_skin,Skin_Allergy
171,dog,itching;hair_loss;sneezing;rash,Skin_Allergy
172,dog,hair_loss;rash;sneezing,Skin_Allergy
173,dog,red_skin;rash;itching;sneezing;hair_loss,Skin_Allergy
174,dog,hair_loss;itching;rash,Skin_Allergy
175,dog,rash;itching;hair_loss;red_skin,Skin_Allergy
176,dog,sneezing;itching;rash;red_skin;hair_loss,Skin_Allergy
177,dog,red_skin;hair_loss;rash,Skin_Allergy
178,dog,rash;red_skin;hair_loss;sneezing,Skin_Allergy
179,dog,sneezing;itching;red_skin;rash,Skin_Allergy
180,dog,itching;red_skin;rash;sneezing,Skin_Allergy
181,dog,red_skin;itching;hair_loss;rash,Skin_Allergy
182,dog,sneezing;hair_loss;red_skin;itching;rash,Skin_Allergy
183,dog,itching;rash;hair_loss;red_skin,Skin_Allergy
184,dog,sneezing;red_skin;hair_loss,Skin_Allergy
185,dog,red_skin;itching;rash;hair_loss,Skin_Allergy
186,dog,rash;hair_loss;red_skin,Skin_Allergy
187,dog,hair_loss;sneezing;itching;red_skin,Skin_Allergy
188,dog,rash;itching;hair_loss;sneezing;red_skin,Skin_Allergy
189,dog,rash;sneezing;hair_loss,Skin_Allergy
190,dog,sneezing;hair_loss;red_skin,Skin_Allergy
191,dog,red_skin;sneezing;rash,Skin_Allergy
192,dog,itching;hair_loss;red_skin;sneezing,Skin_Allergy
193,dog,red_skin;hair_loss;rash;sneezing;itching,Skin_Allergy
194,dog,red_skin;sneezing;itching;hair_loss;rash,Skin_Allergy
195,dog,sneezing;rash;itching;hair_loss;red_skin,Skin_Allergy
196,dog,itching;rash;hair_loss;sneezing,Skin_Allergy
197,dog,red_skin;itching;hair_loss;sneezing;rash,Skin_Allergy
198,dog,itching;rash;hair_loss,Skin_Allergy
199,dog,rash;sneezing;red_skin;hair_loss,Skin_Allergy
200,dog,itching;sneezing;rash,Skin_Allergy
201,dog,sneezing;rash;itching,Skin_Allergy
202,dog,red_skin;hair_loss;sneezing;rash;itching,Skin_Allergy
203,dog,red_skin;sneezing;itching,Skin_Allergy
204,dog,sneezing;itching;rash;hair_loss,Skin_Allergy
205,dog,rash;sneezing;hair_loss;red_skin,Skin_Allergy
206,dog,hair_loss;itching;sneezing;red_skin;rash,Skin_Allergy
207,dog,red_skin;sneezing;itching;hair_loss;rash,Skin_Allergy
208,dog,rash;itching;red_skin,Skin_Allergy
209,dog,itching;sneezing;hair_loss;red_skin,Skin_Allergy
210,dog,hair_loss;sneezing;red_skin;itching;rash,Skin_Allergy
211,dog,stiffness;joint_pain;difficulty_walking,Arthritis
212,dog,difficulty_walking;fatigue;joint_pain;stiffness,Arthritis
213,dog,fatigue;stiffness;limping,Arthritis
214,dog,limping;difficulty_walking;stiffness,Arthritis
215,dog,difficulty_walking;fatigue;joint_pain;limping,Arthritis
216,dog,limping;fatigue;stiffness;joint_pain,Arthritis
217,dog,joint_pain;limping;fatigue;difficulty_walking,Arthritis
218,dog,difficulty_walking;fatigue;limping,Arthritis
219,dog,stiffness;fatigue;limping,Arthritis
220,dog,joint_pain;limping;fatigue;difficulty_walking,Arthritis
221,dog,fatigue;stiffness;limping;difficulty_walking;joint_pain,Arthritis
222,dog,stiffness;joint_pain;difficulty_walking,Arthritis
223,dog,difficulty_walking;limping;fatigue,Arthritis
224,dog,difficulty_walking;limping;joint_pain;stiffness,Arthritis
225,dog,stiffness;joint_pain;fatigue;difficulty_walking;limping,Arthritis
226,dog,fatigue;difficulty_walking;joint_pain;limping,Arthritis
227,dog,fatigue;joint_pain;stiffness;difficulty_walking;limping,Arthritis
228,dog,difficulty_walking;fatigue;stiffness;joint_pain;limping,Arthritis
229,dog,fatigue;stiffness;difficulty_walking;limping;joint_pain,Arthritis
230,dog,stiffness;difficulty_walking;limping;joint_pain,Arthritis
231,dog,limping;stiffness;difficulty_walking,Arthritis
232,dog,stiffness;difficulty_walking;fatigue;limping;joint_pain,Arthritis
233,dog,fatigue;limping;stiffness,Arthritis
234,dog,difficulty_walking;fatigue;joint_pain,Arthritis
235,dog,difficulty_walking;stiffness;limping;joint_pain,Arthritis
236,dog,difficulty_walking;limping;joint_pain;fatigue;stiffness,Arthritis
237,dog,joint_pain;limping;stiffness,Arthritis
238,dog,stiffness;difficulty_walking;joint_pain,Arthritis
239,dog,joint_pain;stiffness;fatigue;limping;difficulty_walking,Arthritis
240,dog,difficulty_walking;limping;joint_pain;fatigue,Arthritis
241,dog,limping;stiffness;joint_pain,Arthritis
242,dog,difficulty_walking;stiffness;joint_pain;fatigue,Arthritis
243,dog,limping;stiffness;difficulty_walking;fatigue,Arthritis
244,dog,stiffness;limping;fatigue,Arthritis
245,dog,joint_pain;stiffness;difficulty_walking;limping;fatigue,Arthritis
246,dog,joint_pain;limping;fatigue;stiffness;difficulty_walking,Arthritis
247,dog,difficulty_walking;limping;fatigue;joint_pain;stiffness,Arthritis
248,dog,joint_pain;limping;difficulty_walking,Arthritis
249,dog,fatigue;stiffness;joint_pain;limping,Arthritis
250,dog,limping;difficulty_walking;stiffness;joint_pain,Arthritis
251,dog,stiffness;limping;difficulty_walking,Arthritis
252,dog,stiffness;joint_pain;difficulty_walking;limping;fatigue,Arthritis
253,dog,joint_pain;limping;fatigue;stiffness;difficulty_walking,Arthritis
254,dog,stiffness;fatigue;difficulty_walking,Arthritis
255,dog,fatigue;stiffness;difficulty_walking,Arthritis
256,dog,difficulty_walking;fatigue;joint_pain,Arthritis
257,dog,joint_pain;fatigue;difficulty_walking;stiffness;limping,Arthritis
258,dog,stiffness;limping;difficulty_walking;fatigue;joint_pain,Arthritis
259,dog,fatigue;difficulty_walking;limping;joint_pain,Arthritis
260,dog,fatigue;stiffness;difficulty_walking;joint_pain,Arthritis
261,dog,stiffness;difficulty_walking;fatigue;limping;joint_pain,Arthritis
262,dog,fatigue;joint_pain;limping;difficulty_walking;stiffness,Arthritis
263,dog,fatigue;stiffness;limping;difficulty_walking;joint_pain,Arthritis
264,dog,difficulty_walking;stiffness;joint_pain;fatigue,Arthritis
265,dog,difficulty_walking;stiffness;fatigue;joint_pain,Arthritis
266,dog,stiffness;limping;fatigue;difficulty_walking,Arthritis
267,dog,fatigue;difficulty_walking;stiffness;limping;joint_pain,Arthritis
268,dog,fatigue;difficulty_walking;stiffness,Arthritis
269,dog,limping;stiffness;joint_pain,Arthritis
270,dog,limping;fatigue;difficulty_walking;joint_pain;stiffness,Arthritis
271,dog,stiffness;joint_pain;limping;difficulty_walking,Arthritis
272,dog,joint_pain;fatigue;limping;difficulty_walking,Arthritis
273,dog,joint_pain;stiffness;limping;difficulty_walking,Arthritis
274,dog,difficulty_walking;joint_pain;limping;fatigue,Arthritis
275,dog,difficulty_walking;fatigue;joint_pain;stiffness;limping,Arthritis
276,dog,fatigue;stiffness;joint_pain,Arthritis
277,dog,joint_pain;difficulty_walking;limping;stiffness;fatigue,Arthritis
278,dog,difficulty_walking;fatigue;stiffness;limping,Arthritis
279,dog,difficulty_walking;limping;fatigue;joint_pain,Arthritis
280,dog,difficulty_walking;stiffness;fatigue;joint_pain,Arthritis
281,dog,weight_loss;increased_thirst;lethargy;vomiting;loss_of_appetite,Kidney_Disease
282,dog,loss_of_appetite;vomiting;lethargy,Kidney_Disease
283,dog,loss_of_appetite;increased_thirst;lethargy,Kidney_Disease
284,dog,loss_of_appetite;vomiting;increased_thirst;weight_loss;lethargy,Kidney_Disease
285,dog,loss_of_appetite;vomiting;increased_thirst;lethargy;weight_loss,Kidney_Disease
286,dog,increased_thirst;lethargy;loss_of_appetite,Kidney_Disease
287,dog,vomiting;lethargy;weight_loss,Kidney_Disease
288,dog,lethargy;increased_thirst;weight_loss;loss_of_appetite;vomiting,Kidney_Disease
289,dog,vomiting;weight_loss;increased_thirst;lethargy,Kidney_Disease
290,dog,lethargy;loss_of_appetite;weight_loss,Kidney_Disease
291,dog,weight_loss;lethargy;increased_thirst;vomiting,Kidney_Disease
292,dog,vomiting;weight_loss;increased_thirst;loss_of_appetite,Kidney_Disease
293,dog,vomiting;lethargy;loss_of_appetite;increased_thirst,Kidney_Disease
294,dog,lethargy;vomiting;increased_thirst,Kidney_Disease
295,dog,loss_of_appetite;vomiting;lethargy;increased_thirst;weight_loss,Kidney_Disease
296,dog,loss_of_appetite;lethargy;vomiting,Kidney_Disease
297,dog,increased_thirst;lethargy;weight_loss,Kidney_Disease
298,dog,lethargy;vomiting;loss_of_appetite,Kidney_Disease
299,dog,increased_thirst;loss_of_appetite;vomiting;weight_loss,Kidney_Disease
300,dog,loss_of_appetite;weight_loss;lethargy;vomiting;increased_thirst,Kidney_Disease
301,dog,loss_of_appetite;increased_thirst;lethargy,Kidney_Disease
302,dog,lethargy;weight_loss;vomiting;loss_of_appetite;increased_thirst,Kidney_Disease
303,dog,vomiting;weight_loss;increased_thirst;lethargy,Kidney_Disease
304,dog,lethargy;weight_loss;increased_thirst,Kidney_Disease
305,dog,weight_loss;vomiting;lethargy,Kidney_Disease
306,dog,loss_of_appetite;lethargy;increased_thirst;weight_loss;vomiting,Kidney_Disease
307,dog,lethargy;weight_loss;loss_of_appetite;increased_thirst;vomiting,Kidney_Disease
308,dog,lethargy;vomiting;weight_loss;loss_of_appetite,Kidney_Disease
309,dog,lethargy;weight_loss;increased_thirst,Kidney_Disease
310,dog,lethargy;weight_loss;increased_thirst,Kidney_Disease
311,dog,increased_thirst;lethargy;loss_of_appetite,Kidney_Disease
312,dog,vomiting;weight_loss;lethargy,Kidney_Disease
313,dog,increased_thirst;loss_of_appetite;lethargy;vomiting,Kidney_Disease
314,dog,loss_of_appetite;increased_thirst;lethargy;vomiting;weight_loss,Kidney_Disease
315,dog,loss_of_appetite;increased_thirst;lethargy;weight_loss;vomiting,Kidney_Disease
316,dog,increased_thirst;vomiting;lethargy,Kidney_Disease
317,dog,lethargy;loss_of_appetite;increased_thirst;weight_loss,Kidney_Disease
318,dog,lethargy;weight_loss;vomiting;increased_thirst;loss_of_appetite,Kidney_Disease
319,dog,vomiting;lethargy;loss_of_appetite,Kidney_Disease
320,dog,weight_loss;vomiting;increased_thirst,Kidney_Disease
321,dog,lethargy;loss_of_appetite;weight_loss,Kidney_Disease
322,dog,weight_loss;vomiting;increased_thirst;lethargy;loss_of_appetite,Kidney_Disease
323,dog,increased_thirst;lethargy;vomiting;loss_of_appetite;weight_loss,Kidney_Disease
324,dog,loss_of_appetite;weight_loss;vomiting,Kidney_Disease
325,dog,vomiting;loss_of_appetite;increased_thirst;lethargy;weight_loss,Kidney_Disease
326,dog,increased_thirst;vomiting;lethargy;weight_loss,Kidney_Disease
327,dog,vomiting;lethargy;loss_of_appetite;weight_loss,Kidney_Disease
328,dog,loss_of_appetite;vomiting;weight_loss;increased_thirst;lethargy,Kidney_Disease
329,dog,vomiting;weight_loss;lethargy;loss_of_appetite,Kidney_Disease
330,dog,increased_thirst;weight_loss;vomiting;loss_of_appetite,Kidney_Disease
331,dog,vomiting;lethargy;loss_of_appetite;weight_loss,Kidney_Disease
332,dog,weight_loss;loss_of_appetite;increased_thirst;vomiting;lethargy,Kidney_Disease
333,dog,weight_loss;loss_of_appetite;lethargy,Kidney_Disease
334,dog,loss_of_appetite;weight_loss;lethargy,Kidney_Disease
335,dog,increased_thirst;lethargy;vomiting;loss_of_appetite;weight_loss,Kidney_Disease
336,dog,weight_loss;lethargy;vomiting,Kidney_Disease
337,dog,weight_loss;vomiting;loss_of_appetite;increased_thirst;lethargy,Kidney_Disease
338,dog,vomiting;increased_thirst;weight_loss,Kidney_Disease
339,dog,loss_of_appetite;increased_thirst;weight_loss;vomiting;lethargy,Kidney_Disease
340,dog,lethargy;loss_of_appetite;increased_thirst;weight_loss;vomiting,Kidney_Disease
341,dog,weight_loss;loss_of_appetite;lethargy;increased_thirst,Kidney_Disease
342,dog,increased_thirst;vomiting;lethargy,Kidney_Disease
343,dog,loss_of_appetite;weight_loss;vomiting;increased_thirst;lethargy,Kidney_Disease
344,dog,weight_loss;increased_thirst;loss_of_appetite;lethargy;vomiting,Kidney_Disease
345,dog,loss_of_appetite;lethargy;vomiting;weight_loss,Kidney_Disease
346,dog,loss_of_appetite;weight_loss;increased_thirst;vomiting,Kidney_Disease
347,dog,lethargy;weight_loss;vomiting,Kidney_Disease
348,dog,weight_loss;vomiting;loss_of_appetite;increased_thirst;lethargy,Kidney_Disease
349,dog,vomiting;weight_loss;loss_of_appetite;increased_thirst,Kidney_Disease
350,dog,vomiting;increased_thirst;loss_of_appetite,Kidney_Disease
351,cat,dehydration;loss_of_appetite;vomiting;diarrhea;fever,Feline_Panleukopenia
352,cat,vomiting;diarrhea;fever,Feline_Panleukopenia
353,cat,dehydration;diarrhea;loss_of_appetite;fever;vomiting,Feline_Panleukopenia
354,cat,diarrhea;loss_of_appetite;vomiting,Feline_Panleukopenia
355,cat,dehydration;fever;diarrhea;loss_of_appetite,Feline_Panleukopenia
356,cat,vomiting;fever;dehydration;loss_of_appetite,Feline_Panleukopenia
357,cat,diarrhea;dehydration;fever;loss_of_appetite;vomiting,Feline_Panleukopenia
358,cat,fever;loss_of_appetite;vomiting,Feline_Panleukopenia
359,cat,loss_of_appetite;fever;diarrhea;dehydration;vomiting,Feline_Panleukopenia
360,cat,vomiting;diarrhea;dehydration;fever;loss_of_appetite,Feline_Panleukopenia
361,cat,dehydration;fever;loss_of_appetite;vomiting;diarrhea,Feline_Panleukopenia
362,cat,dehydration;loss_of_appetite;diarrhea;vomiting;fever,Feline_Panleukopenia
363,cat,vomiting;diarrhea;fever;dehydration;loss_of_appetite,Feline_Panleukopenia
364,cat,dehydration;diarrhea;loss_of_appetite,Feline_Panleukopenia
365,cat,diarrhea;loss_of_appetite;dehydration;vomiting,Feline_Panleukopenia
366,cat,fever;diarrhea;loss_of_appetite;vomiting;dehydration,Feline_Panleukopenia
367,cat,fever;diarrhea;dehydration;vomiting,Feline_Panleukopenia
368,cat,fever;loss_of_appetite;dehydration,Feline_Panleukopenia
369,cat,loss_of_appetite;diarrhea;dehydration;vomiting;fever,Feline_Panleukopenia
370,cat,vomiting;diarrhea;fever;loss_of_appetite,Feline_Panleukopenia
371,cat,vomiting;dehydration;fever,Feline_Panleukopenia
372,cat,dehydration;diarrhea;loss_of_appetite;vomiting,Feline_Panleukopenia
373,cat,diarrhea;fever;vomiting;dehydration;loss_of_appetite,Feline_Panleukopenia
374,cat,loss_of_appetite;fever;dehydration;vomiting,Feline_Panleukopenia
375,cat,dehydration;vomiting;fever;diarrhea,Feline_Panleukopenia
376,cat,loss_of_appetite;dehydration;diarrhea;fever;vomiting,Feline_Panleukopenia
377,cat,vomiting;dehydration;diarrhea;loss_of_appetite;fever,Feline_Panleukopenia
378,cat,fever;loss_of_appetite;diarrhea,Feline_Panleukopenia
379,cat,loss_of_appetite;diarrhea;fever;dehydration;vomiting,Feline_Panleukopenia
380,cat,fever;diarrhea;loss_of_appetite;dehydration;vomiting,Feline_Panleukopenia
381,cat,loss_of_appetite;fever;dehydration;vomiting;diarrhea,Feline_Panleukopenia
382,cat,loss_of_appetite;vomiting;fever;dehydration;diarrhea,Feline_Panleukopenia
383,cat,fever;dehydration;diarrhea,Feline_Panleukopenia
384,cat,dehydration;vomiting;fever,Feline_Panleukopenia
385,cat,diarrhea;fever;dehydration;vomiting;loss_of_appetite,Feline_Panleukopenia
386,cat,vomiting;fever;diarrhea,Feline_Panleukopenia
387,cat,fever;diarrhea;loss_of_appetite;vomiting;dehydration,Feline_Panleukopenia
388,cat,dehydration;diarrhea;vomiting,Feline_Panleukopenia
389,cat,diarrhea;vomiting;loss_of_appetite;fever,Feline_Panleukopenia
390,cat,diarrhea;fever;dehydration;vomiting;loss_of_appetite,Feline_Panleukopenia
391,cat,fever;dehydration;diarrhea;loss_of_appetite,Feline_Panleukopenia
392,cat,dehydration;loss_of_appetite;fever;diarrhea,Feline_Panleukopenia
393,cat,fever;dehydration;vomiting;loss_of_appetite;diarrhea,Feline_Panleukopenia
394,cat,fever;vomiting;loss_of_appetite,Feline_Panleukopenia
395,cat,vomiting;fever;diarrhea;loss_of_appetite;dehydration,Feline_Panleukopenia
396,cat,vomiting;dehydration;fever,Feline_Panleukopenia
397,cat,dehydration;fever;diarrhea;vomiting;loss_of_appetite,Feline_Panleukopenia
398,cat,diarrhea;loss_of_appetite;dehydration;vomiting;fever,Feline_Panleukopenia
399,cat,loss_of_appetite;vomiting;dehydration;fever;diarrhea,Feline_Panleukopenia
400,cat,loss_of_appetite;vomiting;diarrhea,Feline_Panleukopenia
401,cat,fever;vomiting;loss_of_appetite,Feline_Panleukopenia
402,cat,loss_of_appetite;fever;diarrhea,Feline_Panleukopenia
403,cat,dehydration;vomiting;fever;diarrhea;loss_of_appetite,Feline_Panleukopenia
404,cat,dehydration;vomiting;fever;diarrhea;loss_of_appetite,Feline_Panleukopenia
405,cat,dehydration;loss_of_appetite;diarrhea;fever,Feline_Panleukopenia
406,cat,vomiting;fever;loss_of_appetite;dehydration;diarrhea,Feline_Panleukopenia
407,cat,dehydration;fever;vomiting;diarrhea,Feline_Panleukopenia
